Product_ID,Material_Name,CAS_Number,Price_US/g,Notes,Is_Dilution,Active_Material,Solvent,Active_%,Availability,Price_Change
8F3094001558,Ambroxan 10% in DPG from SimpleScentsDIY,,0.495,,TRUE,Ambroxan (Powder) from SimpleScentsDIY,ไดโพรไพลีน ไกลคอล / Dipropylene Glycol / DPG from SimpleScentsDIY,10.00%,Not Listed,REMOVED
8F3094005337,Anethol from SimpleScentsDIY,4180-23-8,0.185,,,,,,Not Listed,REMOVED
8F3094004198,Anisaldehyde from SimpleScentsDIY,0123-11-5,0.124,,,,,,Not Listed,REMOVED
8F3094004207,Aphermate from SimpleScentsDIY,25225-08-05,0.185,,,,,,Not Listed,REMOVED
8F3094001772,Azarbre from SimpleScentsDIY,68845-36-3,0.618,,,,,,Not Listed,REMOVED
8F3094001773,Bacdanol from SimpleScentsDIY,28219-61-6,0.165,,,,,,Not Listed,REMOVED
8F3094001640,Benzaldehyde from SimpleScentsDIY,100-52-7,0.124,,,,,,Not Listed,REMOVED
8F3094001432,Benzyl Acetate from SimpleScentsDIY,0140-11-4,0.103,,,,,,Not Listed,REMOVED
8F3094001690,Benzyl Benzoate from SimpleScentsDIY,120-51-4,0.103,,,,,,Not Listed,REMOVED
8F3094001300,Benzyl Salicylate from SimpleScentsDIY,118-58-1,0.103,,,,,,Not Listed,REMOVED
8F3094001645,Beta Caryophyllene from SimpleScentsDIY,87-44-5,0.124,,,,,,Not Listed,REMOVED
8F3094005318,Bourgeonal from SimpleScentsDIY,18127-01-0,0.618,,,,,,Not Listed,REMOVED
8F3094001559,Calone (Powder) from SimpleScentsDIY,28940-11-6,2.473,,,,,,Not Listed,REMOVED
8F3094001562,Calone 10% in DPG from SimpleScentsDIY,,0.371,,TRUE,Calone (Powder) from SimpleScentsDIY,ไดโพรไพลีน ไกลคอล / Dipropylene Glycol / DPG from SimpleScentsDIY,10.00%,Not Listed,REMOVED
8F3094004157,Canthoxal from SimpleScentsDIY,5462-06-06,0.247,,,,,,Not Listed,REMOVED
8F3094004215,Carbinol Muguet from SimpleScentsDIY,0103-05-09,0.185,,,,,,Not Listed,REMOVED
8F3094001698,Cashmeran 10% in DPG from SimpleScentsDIY,33704-61-9,0.165,,,,,,Not Listed,REMOVED
8F3094001551,Cedramber from SimpleScentsDIY,19870-74-7,0.165,,,,,,Not Listed,REMOVED
8F3094005312,Cedroxyde from SimpleScentsDIY,71735-79-0,0.618,,,,,,Not Listed,REMOVED
8F3094001833,Cinnamic Aldehyde from SimpleScentsDIY,104-55-2,0.124,,,,,,Not Listed,REMOVED
8F3094001834,Cinnamyl Acetate from SimpleScentsDIY,103-54-8,0.165,,,,,,Not Listed,REMOVED
8F3094001819,Cinnamyl Alcohol 50% in DPG from SimpleScentsDIY,104-54-1,0.124,,,,,,Not Listed,REMOVED
8F3094001560,CIS Jasmone from SimpleScentsDIY,0488-10-8,1.113,,,,,,Not Listed,REMOVED
8F3094005324,Cis-3-Hexenol from SimpleScentsDIY,928-96-1,0.299,,,,,,Not Listed,REMOVED
8F3094001830,Cis-3-hexenyl Isobutyrate from SimpleScentsDIY,41519-23-7,1.051,,,,,,Not Listed,REMOVED
8F3094001284,Citral Nat from SimpleScentsDIY,5392-40-5,0.165,,,,,,Not Listed,REMOVED
8F3094004197,Citronellal from SimpleScentsDIY,106-23-0,0.155,,,,,,Not Listed,REMOVED
8F3094001297,Citronello 70 from SimpleScentsDIY,106-22-9,0.165,,,,,,Not Listed,REMOVED
8F3094004206,Coranol from SimpleScentsDIY,83926-73-2,0.247,,,,,,Not Listed,REMOVED
8F3094001563,Coumarin (Powder) from SimpleScentsDIY,91-64-5,0.309,,,,,,Not Listed,REMOVED
8F3094001480,Coumarin 10% in DPG from SimpleScentsDIY,,0.124,,TRUE,Coumarin (Powder) from SimpleScentsDIY,ไดโพรไพลีน ไกลคอล / Dipropylene Glycol / DPG from SimpleScentsDIY,10.00%,Not Listed,REMOVED
8F3094001644,Cyclamen Aldehyde from SimpleScentsDIY,103-95-7,0.165,,,,,,Not Listed,REMOVED
8F3094004158,Cyclogalbanate from SimpleScentsDIY,68901-15-5,0.247,,,,,,Not Listed,REMOVED
8F3094001728,Damascenone from SimpleScentsDIY,23696-85-7,3.709,,,,,,Not Listed,REMOVED
8F3094001729,Damascone Alpha from SimpleScentsDIY,24720-09-0,0.618,,,,,,Not Listed,REMOVED
8F3094001730,Damascone Beta from SimpleScentsDIY,23726-91-2,1.298,,,,,,Not Listed,REMOVED
8F3094001820,Damascone Delta from SimpleScentsDIY,57378-68-4,0.309,,,,,,Not Listed,REMOVED
8F3094001825,Delta Decalactone from SimpleScentsDIY,705-86-2,0.155,,,,,,Not Listed,REMOVED
8F3094001550,Diethyl Malonate from SimpleScentsDIY,105-53-3,0.134,,,,,,Not Listed,REMOVED
8F3094001822,Dihydro Jasmone from SimpleScentsDIY,1128-08-01,0.299,,,,,,Not Listed,REMOVED
8F3094001289,Dihydromyrcenol from SimpleScentsDIY,18479-58-8,0.165,,,,,,Not Listed,REMOVED
8F3094001775,Dimetol from SimpleScentsDIY,13254-34-7,0.165,,,,,,Not Listed,REMOVED
8F3094004204,Diphenyl Oxide from SimpleScentsDIY,101-84-8,0.124,,,,,,Not Listed,REMOVED
8F3094001794,D-Limonene from SimpleScentsDIY,5989-27-5,0.103,,,,,,Not Listed,REMOVED
8F3094005316,DMBC Acetate from SimpleScentsDIY,0151-05-03,0.124,,,,,,Not Listed,REMOVED
8F3094001904,Dynascone from SimpleScentsDIY,56973-85-4,1.236,,,,,,Not Listed,REMOVED
8F3094004194,Ebanol from SimpleScentsDIY,67801-20-1,0.206,,,,,,Not Listed,REMOVED
8F3094001483,Ethyl 2-methyl butyrate from SimpleScentsDIY,7452-79-1,0.165,,,,,,Not Listed,REMOVED
8F3094001641,Ethyl Acetate from SimpleScentsDIY,141-78-6,0.124,,,,,,Not Listed,REMOVED
8F3094001434,Ethyl Butyrate from SimpleScentsDIY,105-54-4,0.103,,,,,,Not Listed,REMOVED
8F3094005311,Ethyl Linalool from SimpleScentsDIY,10339-55-6,0.185,,,,,,Not Listed,REMOVED
8F3094001695,Ethyl Maltol (Powder) from SimpleScentsDIY,4940-11-8,0.309,,,,,,Not Listed,REMOVED
8F3094001696,Ethyl Maltol 10% in DPG from SimpleScentsDIY,,0.103,,TRUE,Ethyl Maltol (Powder) from SimpleScentsDIY,ไดโพรไพลีน ไกลคอล / Dipropylene Glycol / DPG from SimpleScentsDIY,10.00%,Not Listed,REMOVED
8F3094001646,Ethyl Safranate from SimpleScentsDIY,35044-59-8,1.236,,,,,,Not Listed,REMOVED
8F3094001699,Ethyl Vanillin (Powder) from SimpleScentsDIY,121-32-4,0.309,,,,,,Not Listed,REMOVED
8F3094001700,Ethyl Vanillin 10% in DPG from SimpleScentsDIY,,0.103,,TRUE,Ethyl Vanillin (Powder) from SimpleScentsDIY,ไดโพรไพลีน ไกลคอล / Dipropylene Glycol / DPG from SimpleScentsDIY,10.00%,Not Listed,REMOVED
8F3094001886,Ethylene Brassylate (Musk T) from SimpleScentsDIY,105-95-3,0.175,,,,,,Not Listed,REMOVED
8F3094001864,Eugenol Nat from SimpleScentsDIY,97-53-0,0.165,,,,,,Not Listed,REMOVED
8F3094001435,Evernyl (Moss) 10% in DPG from SimpleScentsDIY,,0.124,,TRUE,Evernyl (Powder) from SimpleScentsDIY,ไดโพรไพลีน ไกลคอล / Dipropylene Glycol / DPG from SimpleScentsDIY,10.00%,Not Listed,REMOVED
8F3094001564,Evernyl (Powder) from SimpleScentsDIY,4707-47-5,0.495,,,,,,Not Listed,REMOVED
8F3094001821,Farnesol from SimpleScentsDIY,4602-84-0,0.371,,,,,,Not Listed,REMOVED
8F3094001789,Fixamber from SimpleScentsDIY,144020-22-4,0.495,,,,,,Not Listed,REMOVED
8F3094001554,Floralozone from SimpleScentsDIY,67634-14-4,0.165,,,,,,Not Listed,REMOVED
8F3094005319,Florhydral from SimpleScentsDIY,125109-85-5,0.866,,,,,,Not Listed,REMOVED
8F3094001285,Florol from SimpleScentsDIY,63500-71-0,0.165,,,,,,Not Listed,REMOVED
8F3094001776,Floropal from SimpleScentsDIY,5182-36-5,0.185,,,,,,Not Listed,REMOVED
8F3094001481,Fragolane / Fructone B from SimpleScentsDIY,6413.-10-1,0.185,,,,,,Not Listed,REMOVED
8F3094004212,Fruitate from SimpleScentsDIY,80657-64-3,0.618,,,,,,Not Listed,REMOVED
8F3094001828,Furaneol 10% In DPG from SimpleScentsDIY,3658-77-3,0.155,,,,,,Not Listed,REMOVED
8F3094001703,Galaxolide 100% (Pure) from SimpleScentsDIY,1222-05-05,0.165,,,,,,Not Listed,REMOVED
8F3094001731,Gamma Decalactone from SimpleScentsDIY,706-14-9,0.124,,,,,,Not Listed,REMOVED
8F3094005320,Gamma-Heptalactone from SimpleScentsDIY,105-21-5,0.155,,,,,,Not Listed,REMOVED
8F3094001903,Gamma-Octalactone from SimpleScentsDIY,104-50-7,0.155,,,,,,Not Listed,REMOVED
8F3094001291,Geraniol from SimpleScentsDIY,106-24-1,0.165,,,,,,Not Listed,REMOVED
8F3094001298,Geranyl Acetate from SimpleScentsDIY,105-87-3,0.165,,,,,,Not Listed,REMOVED
8F3094004193,Globanone 50 % in DPG from SimpleScentsDIY,3100-36-5,0.289,,,,,,Not Listed,REMOVED
8F3094001653,Guaiacol from SimpleScentsDIY,90-05-1,0.185,,,,,,Not Listed,REMOVED
8F3094001832,Habanolide from SimpleScentsDIY,111879-80-2,0.299,,,,,,Not Listed,REMOVED
8F3094001479,Hedione from SimpleScentsDIY,24851-98-7,0.165,,,,,,Not Listed,REMOVED
8F3094001878,Hedione HC from SimpleScentsDIY,24851-98-7,0.927,,,,,,Not Listed,REMOVED
8F3094001802,Helional from SimpleScentsDIY,1205-17-0,0.185,,,,,,Not Listed,REMOVED
8F3094001643,Heliotrope Base from SimpleScentsDIY,120-57-0,0.165,,,,,,Not Listed,REMOVED
8F3094001831,Helvetolide from SimpleScentsDIY,141773-73-1,1.236,,,,,,Not Listed,REMOVED
