Product_ID,Material_Name,Supplier,CAS_Number,New CAS,Price_US/g,Notes,Is_Dilution,Active_Material,Solvent,Active_%,Source_URL
4GN23714,Algix Pure from PerfumersWorld,PerfumersWorld,72987-59-8,,2.25,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=4GN23714
4FG00029,Allyl Amyl Glycolate from PerfumersWorld,PerfumersWorld,67634-00-8,,0.20,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=4FG00029
5FG07543,Allyl Amyl Glycolate 10% in DPG from PerfumersWorld,PerfumersWorld,"67634-00-8|0.1
25265-71-8|0.9",,0.05,,TRUE,Allyl Amyl Glycolate from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.1,https://www.perfumersworld.com/view.php?pro_id=5FG07543
4FC02995,Allyl Caproate from PerfumersWorld,PerfumersWorld,123-68-2,,0.14,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=4FC02995
4FC00030,Allyl Cyclohexyl Propionate from PerfumersWorld,PerfumersWorld,2705-87-5,,0.17,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=4FC00030
5FC12465,Allyl Cyclohexyl Propionate 10% in DPG from PerfumersWorld,PerfumersWorld,"2705-87-5|0.1
25265-71-8|0.9",,0.06,,TRUE,Allyl Cyclohexyl Propionate from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.1,https://www.perfumersworld.com/view.php?pro_id=5FC12465
4IN10857,Allyl Ionone Cetone V from PerfumersWorld,PerfumersWorld,79-78-7,,1.30,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=4IN10857
9IF02656,Alpha Damascone from PerfumersWorld,PerfumersWorld,43052-87-5,,1.90,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=9IF02656
5IF07569,Alpha Damascone 10% in DPG from PerfumersWorld,PerfumersWorld,"43052-87-5|0.1
25265-71-8|0.9",,0.21,,TRUE,Alpha Damascone from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.1,https://www.perfumersworld.com/view.php?pro_id=5IF07569
3IF00237,Alpha Ionone from PerfumersWorld,PerfumersWorld,127-41-3,,0.26,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=3IF00237
