Status,Cleaned_Name,WIP_CAS,PubChem_CID,PubChem_Title,PubChem_CAS_All,PubChem_Synonyms_Top10,Audit_Notes,Original_Name,Supplier_CAS_Map,Product_URL
WIP_DISCREPANCY,Timber Propanol,,116699,"Cyclohexanepropanol, 2,2,6-trimethyl-alpha-propyl-",70788-30-6,"1-(2,2,6-Trimethylcyclohexyl)-3-hexanol|Cyclohexanepropanol, 2,2,6-trimethyl-alpha-propyl-|Timberol|6-(2,2,6-Trimethylcyclohexyl)-4-hexanol|UNII-CLV4EM4325|FINOTIMBER|CLV4EM4325|Cyclohexanepropanol, 2,2,6-trimethyl-.alpha.-propyl-|EINECS 274-892-7|2,2,6-Trimethyl-alpha-propylcyclohexanepropanol",,Timber Propanol (Karmawood),{'MySkinRecipes': '70788-30-6'},https://www.myskinrecipes.com/shop/th/wood-ไม้-เปลือกไม้/2848-timber-propanol-karmawood.html
WIP_DISCREPANCY,Strawberry Furanone,,19309,Furaneol,3658-77-3,"Furaneol|3658-77-3|4-hydroxy-2,5-dimethylfuran-3(2H)-one|2,5-Dimethyl-4-hydroxy-3(2H)-furanone|4-Hydroxy-2,5-dimethyl-3(2H)-furanone|4-Hydroxy-2,5-dimethyl-3(2H)furanone|Pineapple ketone|Dimethylhydroxy furanone|Alletone|Strawberry furanone",,Strawberry Furanone,{'MySkinRecipes': '3658-77-3'},https://www.myskinrecipes.com/shop/th/vanilla-วานิลลา/2826-strawberry-furanone.html
SUPPLIER_MISMATCH,Indolene 50,,106826,"1H-Indole-1-heptanol, eta-1H-indol-1-yl-alpha,alpha,epsilon-trimethyl-",67801-36-9,"1H-Indole-1-heptanol, eta-1H-indol-1-yl-alpha,alpha,epsilon-trimethyl-|Indol-hydroxycitronellal (Schiff Base)|8,8-Bis(1H-indol-1-yl)-2,6-dimethyl-2-octanol|EINECS 267-156-1|DTXSID10867343|eta-1H-Indol-1-yl-alpha,alpha,epsilon-trimethyl-1H-indole-1-heptanol|1H-Indole-1-heptanol, .eta.-1H-indol-1-yl-.alpha.,.alpha.,.epsilon.-trimethyl-|1H-Indole-1-heptanol, eta-1H-indol-1-yl-alpha,alpha, epsilon-trimethyl-|RefChem:79878|DTXCID60815536",Supplier MySkinRecipes CAS 68908-82-7 error,Indolene 50,{'MySkinRecipes': '68908-82-7'},https://www.myskinrecipes.com/shop/th/animal-สัตว์/2813-indolene-50.html
WIP_DISCREPANCY,Isoeugenol,,853433,,97-54-1,,,Isoeugenol (FEMA 2468),{'MySkinRecipes': '97-54-1'},https://www.myskinrecipes.com/shop/th/spice-เผ็ดร้อน/2790-isoeugenol-fema-2468.html
WIP_DISCREPANCY,Damascenone Total Damascenone-93,,5366074,,23696-85-7,"beta-Damascenone|23726-93-4|trans-beta-Damascenone|trans-damascenone|(E)-beta-damascenone|FEMA No. 3420|(E)-1-(2,6,6-Trimethyl-1,3-cyclohexadien-1-yl)-2-buten-1-one|U66V25TBO0|4-(2,6,6-Trimethylcyclohexa-1,3-dienyl)but-2-en-4-one|CHEBI:67251",,Damascenone Total Damascenone-93 (FEMA 3420),{'MySkinRecipes': '23696-85-7'},https://www.myskinrecipes.com/shop/th/rose-กุหลาบ/2763-damascenone-total-damascenone-93-fema-3420.html
WIP_DISCREPANCY,Benzyl Benzoate,,2345,Benzyl Benzoate,120-51-4,,,Benzyl Benzoate (FEMA 2138),{'MySkinRecipes': '120-51-4'},https://www.myskinrecipes.com/shop/th/frankincense-กำยาน/2746-benzyl-benzoate-fema-2138.html
DATA_GAP,Para Cresol,,2879,P-Cresol,1319-77-3|106-44-5|2876-02-0,"P-CRESOL|4-Methylphenol|106-44-5|4-Cresol|4-Hydroxytoluene|p-Methylphenol|p-Hydroxytoluene|p-Tolyl alcohol|Phenol, 4-methyl-|para-Cresol",,Para Cresol,{'MySkinRecipes': '106-44-5'},https://www.myskinrecipes.com/shop/th/phenolic-ยา/2737-para-cresol.html
DATA_GAP,Magnolia Indene,,119674,"Indeno[1,2-d]-1,3-dioxin, 4,4a,5,9b-tetrahydro-2,4-dimethyl-",27606-09-3,"Magnolan|27606-09-3|Indeno[1,2-d]-1,3-dioxin, 4,4a,5,9b-tetrahydro-2,4-dimethyl-|2,4-Dimethyl-4,4a,5,9b-tetrahydroindeno[1,2-d]-1,3-dioxin|EINECS 248-561-2|2,4-Dimethyl-5,6-indeno-1,3-dioxan|Indeno(1,2-d)-1,3-dioxin, 4,4a,5,9b-tetrahydro-2,4-dimethyl-|2,4-Dimethyl-4,4a,5,9b-tetrahydroindeno(1,2-d)-1,3-dioxin|RefChem:790900|Indeno1,2-d-1,3-dioxin, 4,4a,5,9b-tetrahydro-2,4-dimethyl-",,Magnolia Indene (Magnolan),{'MySkinRecipes': '27606-09-3'},https://www.myskinrecipes.com/shop/th/lily-of-the-valley/2712-magnolia-indene-magnolan.html
WIP_VERIFIED,Woody Acetate,,36081,4-tert-Butylcyclohexyl acetate,32210-23-4|1900-69-2|10411-92-4,"4-tert-Butylcyclohexyl acetate|32210-23-4|4-tert-Butylcyclohexanol acetate|p-tert-Butylcyclohexyl acetate|Cyclohexanol, 4-tert-butyl-, acetate|DTXSID1027974|Cyclohexanol, 4-(1,1-dimethylethyl)-, acetate|Cyclohexanol, 4-(1,1-dimethylethyl)-, 1-acetate|21EUM2B8UC|DTXCID207974",,Woody Acetate (Vertenex),{'MySkinRecipes': '32210-23-4'},https://www.myskinrecipes.com/shop/th/linalool-ฟรีเซีย/2691-woody-acetate-vertenex.html
PROPRIETARY_MIXTURE,Dihydrojasmone,,62378,Dihydrojasmone,1128-08-1,"Dihydrojasmone|1128-08-1|3-Methyl-2-pentylcyclopent-2-enone|2-CYCLOPENTEN-1-ONE, 3-METHYL-2-PENTYL-|FEMA No. 3763|3-Methyl-2-(n-pentanyl)-2-cyclopenten-1-one|Y953R7PP90|NSC-71928|DTXSID4051584|RefChem:133852",,Dihydrojasmone (FEMA 3763),{'MySkinRecipes': ''},https://www.myskinrecipes.com/shop/th/jasmine-มะลิ/2670-dihydrojasmone-fema-3763.html
