Status,Cleaned_Name,WIP_CAS,PubChem_CID,PubChem_Title,PubChem_CAS_All,PubChem_Synonyms_Top10,Audit_Notes,Original_Name,Supplier_CAS_Map,Product_URL,SMILES,Molecular_Weight,Heavy_Atom_Count,LogP,Num_Aromatic_Rings,Num_Aliphatic_Rings,Num_Aromatic_Heterocycles,Num_Aliphatic_Heterocycles,Num_Benzene_Rings,Num_Bicyclic,Num_Aliphatic_Alcohols,Num_Phenols,Num_Aldehydes,Num_Ketones,Num_Esters,Num_Lactones,Num_Ethers,Num_Epoxides,Num_Furans,Num_Thiazoles,Num_Pyridines,Num_Thiophenes,Num_Primary_Amines,Num_Secondary_Amines,Num_Tertiary_Amines
WIP_VERIFIED,Muscenone,82356-51-2,57353762,Methylcyclopentadecenone,82356-51-2,METHYLCYCLOPENTADECENONE|82356-51-2|SCHEMBL354995,,Muscenone from SimpleScentsDIY,{'SimpleScentsDIY': '82356-51-2'},https://www.simplescentsdiy.com/product/35421-34921/muscenone,CC1=CCCCCCCCCCCCCC1=O,236.21,17,5.2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
WIP_VERIFIED,Rhubafuran,82461-14-1,113514,Rhubafuran,82461-14-1|99343-91-6|99343-90-5,"RHUBAFURAN|2,4-Dimethyl-4-phenyltetrahydrofuran|82461-14-1|Furan, tetrahydro-2,4-dimethyl-4-phenyl-|85JUZ61OL5|EINECS 279-967-8|Furan, tetrahydro-2,4-dimethyl-4-phenyl-, (2R,4S)-rel-|Furan, tetrahydro-2,4-dimethyl-4-phenyl-, cis-|99343-90-5|Furan, tetrahydro-2,4-dimethyl-4-phenyl-, (2R,4R)-rel-",,Rhubafuran from SimpleScentsDIY,{'MySkinRecipes': ''},https://www.myskinrecipes.com/shop/th/green-พืช-ใบไม้เขียว/2646-rhubafuran.html,CC1CC(CO1)(C)C2=CC=CC=C2,176.12,13,2.75,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
WIP_DISCREPANCY,Ultravanil,2563-07-07,75715,"Phenol, 2-ethoxy-4-methyl-",2563-07-7,"2-Ethoxy-4-methylphenol|2563-07-7|Phenol, 2-ethoxy-4-methyl-|DTXSID8062523|RefChem:172761|DTXCID7037341|607-762-9|ZWQBCCVEOIYNDL-UHFFFAOYSA-N|2-ethoxy-p-cresol|MFCD00043697",WIP CAS 2563-07-07 not in PubChem ['2563-07-7'],Ultravanil 80% In DPG from SimpleScentsDIY,{'SimpleScentsDIY': '2563-07-7'},https://www.simplescentsdiy.com/product/35607-35239/ultravanil,CCOC1=C(C=CC(=C1)C)O,152.08,11,2.1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
WIP_VERIFIED,Propylene Glycol,57-55-6,1030,Propylene Glycol,25322-68-3|57-55-6|63625-56-9,"propylene glycol|1,2-propanediol|propane-1,2-diol|57-55-6|1,2-Propylene glycol|1,2-dihydroxypropane|2-Hydroxypropanol|Isopropylene glycol|Dowfrost|Sirlene",,Propylene Glycol (PG) from PerfumersWorld,{},,CC(CO)O,76.05,5,-0.64,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WIP_VERIFIED,Damascol,57378-68-4,5365916,,71048-82-3|57378-68-4|41436-42-4,"delta-Damascone|8-Damascone|Delta Damascone|57378-68-4|.delta.-Damascone|FEMA No. 3622|1-(2,6,6-Trimethyl-3-cyclohexen-1-yl)-2-buten-1-one|trans-delta-damascone|2-BUTEN-1-ONE, 1-(2,6,6-TRIMETHYL-3-CYCLOHEXEN-1-YL)-|EINECS 275-156-8",,Damascol from PerfumersWorld,{},,C/C=C/C(=O)C1C(C=CCC1(C)C)C,192.15,14,3.37,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
WIP_DISCREPANCY,Coniferan,67801-20-1,62240,Conifer acetate,,"Coniferan|2-tert-Pentylcyclohexyl acetate|conifer acetate|2-(2-Methylbutan-2-yl)cyclohexyl acetate|Cyclohexanol, 2-tert-pentyl-, acetate|4SMO7U026F|amylcyclohexyl acetate|DTXSID0044573|NSC-21163|DTXCID8024573",WIP CAS 67801-20-1 not in PubChem [],Coniferan from PerfumersWorld,{},,CCC(C)(C)C1CCCCC1OC(=O)C,212.18,15,3.54,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
WIP_DISCREPANCY,Rhodinol ex Citronella,141-25-3,81263,Rhodinol,6812-78-8,"Rhodinol|6812-78-8|(-)-Rhodinol|(-)-alpha-citronellol|FEMA No. 2980|7-Octen-1-ol, 3,7-dimethyl-, (3S)-|1V437W60X9|(S)-ALPHA-CITRONELLOL|(S)-3,7-DIMETHYL-7-OCTENOL|DTXCID9027233",WIP CAS 141-25-3 not in PubChem ['6812-78-8'],Rhodinol ex Citronella from PerfumersWorld,{},,C[C@@H](CCCC(=C)C)CCO,156.15,11,2.75,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WIP_VERIFIED,Phenylacetaldehyde,122-78-1,998,Phenylacetaldehyde,122-78-1,phenylacetaldehyde|2-phenylacetaldehyde|122-78-1|Benzeneacetaldehyde|alpha-Tolualdehyde|Phenylethanal|2-Phenylethanal|Phenylacetic aldehyde|alpha-Toluic aldehyde|Oxophenylethane,,Phenylacetaldehyde 10% in DPG from PerfumersWorld,{},,C1=CC=C(C=C1)CC=O,120.06,9,1.43,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NATURAL_MIXTURE,Guaiacwood Essential Oil,8016-23-7,,,,,,Guaiacwood Essential Oil 50% in DPG from PerfumersWorld,{},,,,,,,,,,,,,,,,,,,,,,,,,,
WIP_VERIFIED,Cinnamyl aldehyde,104-55-2,637511,Cinnamaldehyde,104-55-2|14371-10-9|57194-69-1,,,Cinnamyl aldehyde 10% in DPG from PerfumersWorld,{},,C1=CC=C(C=C1)/C=C/C=O,132.06,10,1.9,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
