Product_ID,Material_Name,CAS_Number,New CAS,Price_US/g,Notes,Is_Dilution,Active_Material,Solvent,Active_%
3NL00044,Anisyl Alcohol from PerfumersWorld,105-13-5,,0.20,,FALSE,,,
7WY10413,Anthopogen Essential Oil from PerfumersWorld,116-26-7,,1.80,,FALSE,,,
SHAMPADD,Anti-dandruff Shampoo Base - unscented from PerfumersWorld,Not Found,,0.04,,FALSE,,,
4WF06853,Aphermate from PerfumersWorld,Not Found,,0.80,,FALSE,,,
6FG18856,APPLE F-TEC from PerfumersWorld,Mixture (Perfume Base),,0.16,,FALSE,,,
6FG07793,Apple Fleuressence from PerfumersWorld,Mixture (Perfume Base),,0.22,,FALSE,,,
6FG08058,Apple Green from PerfumersWorld,Mixture (Perfume Base),,0.15,,FALSE,,,
6FG08026,Apple Red from PerfumersWorld,Mixture (Perfume Base),,0.20,,FALSE,,,
0ZA01228,Apricot Oil - Fixed Oil from PerfumersWorld,68650-44-2,,0.10,,FALSE,,,
3FD06779,Apritone from PerfumersWorld,68133-79-9,,0.78,,FALSE,,,
6WQ18085,ARABIAN OUD F-TEC from PerfumersWorld,Mixture (Perfume Base),,0.40,,FALSE,,,
6WQ08484,Arabian Oud Fleuressence from PerfumersWorld,Mixture (Perfume Base),,0.28,,FALSE,,,
7HH00896,Armoise Essential Oil from PerfumersWorld,84775-45-1,,0.99,,FALSE,,,
6HH18090,ARMOISE F-TEC from PerfumersWorld,Mixture (Perfume Base),,0.37,,FALSE,,,
6HH09096,Armoise Fleuressence from PerfumersWorld,Mixture (Perfume Base),,0.35,,FALSE,,,
7WW00915,Atlas Cedarwood Essential Oil from PerfumersWorld,92201-55-3,,0.31,,FALSE,,,
5NC12180,Aurantiol (Methyl Anthranilate Schiffs Base) 50% in DPG from PerfumersWorld,"89-43-0|0.5
25265-71-8|0.5",,0.22,,TRUE,Aurantiol (Methyl Anthranilate Schiffs Base) from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.5
2NC00409,Aurantiol - Methyl Anthranilate Schiffs Base from PerfumersWorld,89-43-0,,0.37,,FALSE,,,
0ZA01433,Avocado Oil - Fixed Oil from PerfumersWorld,8024-32-6,,0.12,,FALSE,,,
4WB16858,Azarbre from PerfumersWorld,68845-36-3,,0.40,,FALSE,,,
6BB18004,B-ICEBERG F-TEC from PerfumersWorld,Mixture (Perfume Base),,0.12,,FALSE,,,
6BB07833,B-iceBerg Fleuressence from PerfumersWorld,Mixture (Perfume Base),,0.20,,FALSE,,,
4WR00045,Bacdanol from PerfumersWorld,28219-61-6,,0.29,,FALSE,,,
6FD18188,BANANA F-TEC from PerfumersWorld,Mixture (Perfume Base),,0.15,,FALSE,,,
6FD09062,Banana Fleuressence from PerfumersWorld,Mixture (Perfume Base),,0.26,,FALSE,,,
WSBKFOU1,WSBKFOU1 @ US$1450.00/pax from PerfumersWorld,Not Found,,,,FALSE,,,
WSBKPRO2,WSBKPRO2 @ US$2900.00/pax from PerfumersWorld,Not Found,,,,FALSE,,,
WSBKALL3,WSBKALL3 @ US$3950.00/pax from PerfumersWorld,Not Found,,,,FALSE,,,
6PS18638,BASIL F-TEC from PerfumersWorld,Mixture (Perfume Base),,0.38,,FALSE,,,
6PS12413,Basil Fleuressence from PerfumersWorld,Mixture (Perfume Base),,0.18,,FALSE,,,
7PL24627,Basil Linalool Oil Egypt from PerfumersWorld,Not Found,,0.30,,FALSE,,,
7SP00048,Bay West Indies Essential Oil from PerfumersWorld,85085-61-6,,1.30,,FALSE,,,
5SP07871,Bay West Indies Essential Oil 10% in DPG from PerfumersWorld,"85085-61-6|0.1
25265-71-8|0.9",,0.15,,TRUE,Bay West Indies Essential Oil from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.1
2QV23712,Benjoin Laos Matured from PerfumersWorld,9000-72-0,,0.60,,FALSE,,,
4FN00049,Benzaldehyde from PerfumersWorld,100-52-7,,0.18,,FALSE,,,
5FN07794,Benzaldehyde 10% in DPG from PerfumersWorld,"100-52-7|0.1
25265-71-8|0.9",,0.07,,TRUE,Benzaldehyde from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.1
6QV18435,BENZOIN F-TEC from PerfumersWorld,Mixture (Perfume Base),,0.30,,FALSE,,,
6QV09111,Benzoin Fleuressence from PerfumersWorld,Mixture (Perfume Base),,0.35,,FALSE,,,
2QV00050,Benzoin Siam Resinoid from PerfumersWorld,9000-72-0,,0.70,,FALSE,,,
5QV07505,Benzoin Siam Resinoid 50% in BB from PerfumersWorld,"9000-05-9|0.5
120-51-4|0.5",,0.40,,TRUE,Benzoin Siam Resinoid from PerfumersWorld,Benzyl Benzoate (BB) from PerfumersWorld,0.5
