Product_ID,Material_Name,Package_Size,CAS_Number,New CAS,Price_THB_total,Price_THB/g,Notes,Is_Dilution,Active_Material,Solvent,Active_%,Supplier,Product_URL
3590,Marine Hexane (Ozofleur),1 g,181258-87-7,,217.19,217.1900,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/yeast-moss-ยีส-มอสส์/3590-marine-hexane-ozofleur.html
2883,Musk Ketone,1 g,81-14-1,,56.03,56.0300,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/musk-มัสก์/2883-musk-ketone.html
2847,Ebanol,1 g,67801-20-1,,146.71,146.7100,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/wood-ไม้-เปลือกไม้/2847-sandal-pentenol-ebanol.html
2825,5,1 g,620-02-0,,137.73,137.7300,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/vanilla-วานิลลา/2825-5-methyl-furfural-fema-2702.html
2812,Amber Furan (Grisalva),1 g,68611-23-4,,1688.11,1688.1100,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/animal-สัตว์/2812-amber-furan-grisalva.html
2789,Isoamyl Cinnamate (FEMA,1 g,7779-65-9,,67.71,67.7100,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/spice-เผ็ดร้อน/2789-isoamyl-cinnamate-fema-2063.html
2762,Rose Oxide,1 g,16409-43-1,,106.37,106.3700,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/rose-กุหลาบ/2762-rose-oxide.html
2745,Cinnamyl Cinnamate (FEMA,1 g,122-69-0,,141.32,141.3200,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/frankincense-กำยาน/2745-cinnamyl-cinnamate-fema-2298.html
2711,Carbinol Muguet,1 g,103-05-9,,77.38,77.3800,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/lily-of-the-valley/2711-carbinol-muguet-dimethyl-phenylethyl-carbinol.html
2690,Isononyl Acetate,1 g,40379-24-6,,46.46,46.4600,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/linalool-ฟรีเซีย/2690-isononyl-acetate.html
2682,Gamma,1 g,,,45.46,45.4600,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/konifer-ต้นสน/2682-gamma-terpinene-fema-3559.html
2669,Alpha,1 g,,,46.46,46.4600,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/jasmine-มะลิ/2669-alpha-amyl-cinnamaldehyde.html
