Product_ID,Material_Name,CAS_Number,Price_USD/g,Notes,Is_Dilution,Active_Material,Solvent,Active_%
4EW07503,2 3-Dimethyl Pyrazine from PerfumersWorld,5910-89-4,2.69,,FALSE,,,
4EW14326,2 Acetyl Thaizole from PerfumersWorld,24295-03-2,2.50,,FALSE,,,
4FC00030,Allyl Cyclohexyl Propionate from PerfumersWorld,2705-87-5,0.17,,FALSE,,,
4FC00176,Aldehyde C-16 Ethyl Methyl Phenyl Glycidate from PerfumersWorld,77-83-8,0.14,,FALSE,,,
4FC02995,Allyl Caproate from PerfumersWorld,123-68-2,0.14,,FALSE,,,
4FC07622,2-Methyl-2-Pentenoic Acid from PerfumersWorld,3142-72-1,0.32,,FALSE,,,
4FC11677,Methyl Pample Mousse from PerfumersWorld,67674-46-8,1.06,,FALSE,,,
4FD00001,2-Methylbutyl 2-Methylbutyrate from PerfumersWorld,2445-76-3,0.33,,FALSE,,,
4FD02026,Ethyl Isovalerate from PerfumersWorld,108-64-5,0.09,,FALSE,,,
4FD04118,Ethyl 2-Methylbutyrate from PerfumersWorld,7452-79-1,0.36,,FALSE,,,
4FD05871,Butyl Isovalerate from PerfumersWorld,109-19-3,0.24,,FALSE,,,
4FD06346,Amyl Valerate from PerfumersWorld,2173-56-0,0.95,,FALSE,,,
4FG00029,Allyl Amyl Glycolate from PerfumersWorld,67634-00-8,0.20,,FALSE,,,
4FG00289,Melonal from PerfumersWorld,106-72-9,1.00,,FALSE,,,
4FG01284,Hexyl Acetate from PerfumersWorld,142-92-7,0.12,,FALSE,,,
4FG02943,Acetic Acid from PerfumersWorld,64-19-7,0.07,,FALSE,,,
4FG04398,Hexanol from PerfumersWorld,111-27-3,0.20,,FALSE,,,
4FG07161,Dynascone from PerfumersWorld,56973-85-4,2.40,,FALSE,,,
4FG13385,Hexanoic Acid from PerfumersWorld,142-62-1,0.10,,FALSE,,,
4FG15438,Manzanate from PerfumersWorld,39255-32-8,0.28,,FALSE,,,
4FN00049,Benzaldehyde from PerfumersWorld,100-52-7,0.18,,FALSE,,,
4FY00173,Ethyl Amyl Ketone from PerfumersWorld,106-68-3,1.10,,FALSE,,,
4FY02024,Ethyl Heptylate from PerfumersWorld,106-30-9,3.56,,FALSE,,,
4FY22527,2-Octen-4-one from PerfumersWorld,4643-27-0,4.10,,FALSE,,,
4GA00012,Adoxal from PerfumersWorld,141-13-9,1.42,,FALSE,,,
4GD00228,cis-3 Hexenyl Butyrate from PerfumersWorld,16491-36-4,0.90,,FALSE,,,
